timestamp,alloc_mb,sys_mb,heap_inuse_mb,heap_idle_mb,num_gc,goroutines
2026-03-22T01:46:28+05:30,0.33,12.02,0.89,6.64,0,8
2026-03-22T01:46:30+05:30,0.33,12.02,0.89,6.64,0,8
2026-03-22T01:46:32+05:30,0.33,12.02,0.89,6.64,0,8
2026-03-22T01:46:34+05:30,0.33,12.02,0.89,6.64,0,8
2026-03-22T01:46:36+05:30,0.33,12.02,0.89,6.64,0,8
2026-03-22T01:46:38+05:30,0.33,12.02,0.89,6.64,0,8
2026-03-22T01:46:40+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:46:42+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:46:44+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:46:46+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:46:48+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:46:50+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:46:52+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:46:54+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:46:56+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:46:58+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:00+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:02+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:04+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:06+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:08+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:10+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:12+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:14+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:16+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:18+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:20+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:22+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:24+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:26+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:28+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:30+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:32+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:34+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:36+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:38+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:40+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:42+05:30,0.34,12.02,0.93,6.60,0,8
2026-03-22T01:47:44+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:47:46+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:47:48+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:47:50+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:47:52+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:47:54+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:47:56+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:47:58+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:00+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:02+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:04+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:06+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:08+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:10+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:12+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:14+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:16+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:18+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:20+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:22+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:24+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:26+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:28+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:30+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:32+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:34+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:36+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:38+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:40+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:42+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:44+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:46+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:48+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:50+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:52+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:54+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:56+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:48:58+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:00+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:02+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:04+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:06+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:08+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:10+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:12+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:14+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:16+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:18+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:20+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:22+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:24+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:26+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:28+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:30+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:32+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:34+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:36+05:30,0.35,12.02,0.93,6.60,0,8
2026-03-22T01:49:47+05:30,0.33,8.27,1.04,2.49,0,8
2026-03-22T01:49:49+05:30,0.34,8.27,1.04,2.49,0,8
2026-03-22T01:49:51+05:30,0.34,8.27,1.04,2.49,0,8
2026-03-22T01:49:53+05:30,0.36,8.27,1.09,2.45,0,8
2026-03-22T01:49:55+05:30,0.44,8.27,1.20,2.27,0,11
2026-03-22T01:49:57+05:30,0.54,8.27,1.38,2.09,0,10
2026-03-22T01:49:59+05:30,0.62,8.27,1.46,2.01,0,10
2026-03-22T01:50:01+05:30,0.63,8.27,1.48,1.98,0,8
2026-03-22T01:50:03+05:30,0.63,8.27,1.48,1.98,0,8
